id;image1;image2;trial_type
participant_0;n07565083_11373.JPEG;n07565083_8884.JPEG;X
participant_0;n07714990_486.JPEG;n07714990_2222.JPEG;X
participant_0;n03871628_5736.JPEG;n03871628_16234.JPEG;X
participant_0;n02971356_9654.JPEG;n02971356_2341.JPEG;X
participant_0;n03929660_7007.JPEG;n03929660_10538.JPEG;X
participant_0;n03445777_3023.JPEG;n03445777_4070.JPEG;X
participant_0;n03127925_6454.JPEG;n03127925_10053.JPEG;X
participant_0;n03598930_5383.JPEG;n03598930_16512.JPEG;X
participant_0;n07248320_99429.JPEG;n07248320_1384.JPEG;X
participant_0;n01592084_5739.JPEG;n01592084_8106.JPEG;X
participant_0;n04376876_5977.JPEG;n04376876_13059.JPEG;X
participant_0;n04118776_34973.JPEG;n04118776_59630.JPEG;X
participant_0;n03045698_935.JPEG;n03045698_1105.JPEG;X
participant_0;n02107574_560.JPEG;n02107574_778.JPEG;X
participant_0;n03794056_1968.JPEG;n03794056_19582.JPEG;X
participant_0;n06359193_24238.JPEG;n06359193_31205.JPEG;X
participant_0;n04311174_3209.JPEG;n04311174_9531.JPEG;X
participant_0;n04404412_1945.JPEG;n04404412_8875.JPEG;X
participant_0;n01775062_8465.JPEG;n01775062_8824.JPEG;X
participant_0;n02815834_306.JPEG;n02815834_5737.JPEG;X
participant_0;n03788365_9209.JPEG;n03788365_6088.JPEG;X
participant_0;n03976467_15872.JPEG;n03976467_5766.JPEG;X
participant_0;n03908618_3088.JPEG;n03908618_6971.JPEG;X
participant_0;n03649909_25196.JPEG;n03649909_7631.JPEG;X
participant_0;n03482405_26623.JPEG;n03482405_27460.JPEG;X
participant_0;n02328150_112.JPEG;n02328150_6221.JPEG;X
participant_0;n03089624_50118.JPEG;n03089624_31684.JPEG;X
participant_0;n04259630_27398.JPEG;n04259630_16045.JPEG;X
participant_0;n04131690_8613.JPEG;n04131690_13765.JPEG;X
participant_0;n04392985_6656.JPEG;n04392985_9599.JPEG;X
participant_0;n03594734_28196.JPEG;n03594734_10857.JPEG;X
participant_0;n03595614_14516.JPEG;n03595614_12795.JPEG;X
participant_0;n02978881_12127.JPEG;n02978881_9853.JPEG;X
participant_0;n02786058_10847.JPEG;n02786058_1833.JPEG;X
participant_0;n02808304_17563.JPEG;n02808304_8053.JPEG;X
participant_0;n03958227_11594.JPEG;n03958227_10573.JPEG;X
participant_0;n04019541_35276.JPEG;n04019541_1476.JPEG;X
participant_0;n02877765_10667.JPEG;n02877765_16369.JPEG;X
participant_0;n02231487_2265.JPEG;n02231487_3193.JPEG;X
participant_0;n03868242_8456.JPEG;n03868242_13802.JPEG;X
participant_0;n02708093_145.JPEG;n02708093_443.JPEG;X
participant_0;n03124170_5215.JPEG;n03124170_10673.JPEG;X
participant_0;n02927161_42490.JPEG;n02927161_792.JPEG;X
participant_0;n04371774_14967.JPEG;n04371774_11964.JPEG;X
participant_0;n03899768_35157.JPEG;n03899768_37963.JPEG;X
participant_0;n03759954_17862.JPEG;n03759954_15525.JPEG;X
participant_0;n07930864_14999.JPEG;n07930864_59345.JPEG;X
participant_0;n03888257_4179.JPEG;n03888257_10044.JPEG;X
participant_0;n03786901_8187.JPEG;n03786901_5481.JPEG;X
participant_0;n02966687_4132.JPEG;n02966687_8049.JPEG;X
participant_0;n02808440_8792.JPEG;n02808440_32236.JPEG;X
participant_0;n03062245_1974.JPEG;n03062245_5468.JPEG;X
participant_0;n03837869_502.JPEG;n03837869_9835.JPEG;X
participant_0;n03141823_7590.JPEG;n03141823_5973.JPEG;X
participant_0;n04204238_4304.JPEG;n04204238_5833.JPEG;X
participant_0;n04026417_24197.JPEG;n04026417_2237.JPEG;X
participant_0;n03876231_11461.JPEG;n03876231_2973.JPEG;X
participant_0;n03530642_2807.JPEG;n03530642_12099.JPEG;X
participant_0;n04041544_2730.JPEG;n04041544_31707.JPEG;X
participant_0;n04476259_9529.JPEG;n04476259_4858.JPEG;X
participant_0;n01930112_18063.JPEG;n01930112_19184.JPEG;X
participant_0;n02980441_2580.JPEG;n02980441_30555.JPEG;X
participant_0;n02834397_6013.JPEG;n02834397_7125.JPEG;X
participant_0;n04070727_32435.JPEG;n04070727_1565.JPEG;X
participant_0;n03970156_7016.JPEG;n03970156_9803.JPEG;X
participant_0;n04562935_10800.JPEG;n04562935_7279.JPEG;X
participant_0;n03255030_2375.JPEG;n03255030_20938.JPEG;X
participant_0;n12144580_4852.JPEG;n12144580_43883.JPEG;X
participant_0;n04532106_12280.JPEG;n04532106_10805.JPEG;X
participant_0;n04252225_1606.JPEG;n04252225_14682.JPEG;X
participant_0;n07753592_11578.JPEG;n07753592_15601.JPEG;X
participant_0;n03404251_1685.JPEG;n03404251_11973.JPEG;X
participant_0;n03991062_5148.JPEG;n03991062_560.JPEG;X
participant_0;n04127249_1742.JPEG;n04127249_8943.JPEG;X
participant_0;n04548362_10223.JPEG;n04548362_28128.JPEG;X
participant_0;n03538406_1308.JPEG;n03538406_10714.JPEG;X
participant_0;n03642806_11746.JPEG;n03642806_3816.JPEG;X
participant_0;n02437616_17.JPEG;n02437616_2362.JPEG;X
participant_0;n03000134_2406.JPEG;n03000134_2550.JPEG;X
participant_0;n04179913_11745.JPEG;n04179913_46.JPEG;X
participant_0;n03804744_8946.JPEG;n03804744_21749.JPEG;X
participant_0;n04423845_16665.JPEG;n04423845_22643.JPEG;X
participant_0;n02747177_29325.JPEG;n02747177_27593.JPEG;X
participant_0;n03825788_9513.JPEG;n03825788_30429.JPEG;X
participant_0;n03124043_1713.JPEG;n03124043_902.JPEG;X
participant_0;n04550184_43944.JPEG;n04550184_34194.JPEG;X
participant_0;n03297495_5210.JPEG;n03297495_1861.JPEG;X
participant_0;n03924679_7447.JPEG;n03924679_8982.JPEG;X
participant_0;n04204347_4353.JPEG;n04204347_5952.JPEG;X
participant_0;n02879718_36638.JPEG;n02879718_8403.JPEG;X
participant_0;n04372370_23966.JPEG;n04372370_41159.JPEG;X
participant_0;n03920288_1496.JPEG;n03920288_4806.JPEG;X
participant_0;n03179701_2117.JPEG;n03179701_4853.JPEG;X
participant_0;n04162706_40299.JPEG;n04162706_23557.JPEG;X
participant_0;n04286575_14356.JPEG;n04286575_490.JPEG;X
participant_0;n03658185_20896.JPEG;n03658185_1675.JPEG;X
participant_0;n02840245_7031.JPEG;n02840245_5364.JPEG;X
participant_0;n04332243_41364.JPEG;n04332243_14513.JPEG;X
participant_0;n03995372_9129.JPEG;n03995372_18138.JPEG;X
participant_0;n02776631_246.JPEG;n02776631_21860.JPEG;X
participant_0;n02125311_45953.JPEG;n02125311_76311.JPEG;X
participant_0;n07802026_742.JPEG;n07802026_18163.JPEG;X
participant_0;n02892201_18148.JPEG;n02892201_68232.JPEG;X
participant_0;n04254680_1344.JPEG;n04254680_5301.JPEG;X
